[2026-07-07 15:59:11,252 root/WARNING]: 127.0.0.1 - "GET /static/js/cookie.js HTTP/1.1" - 304 - | 0ms |  | 
[2026-07-07 15:59:11,302 root/INFO]: 127.0.0.1 - "GET /pitches HTTP/1.1" - 200 - | 14ms |  | 
[2026-07-07 16:02:12,620 root/INFO]: 127.0.0.1 - "GET /pitches/6 HTTP/1.1" - 200 - | 88ms |  | 
[2026-07-07 16:02:12,699 root/INFO]: 127.0.0.1 - "GET /static/css/style.css HTTP/1.1" - 200 - | 1ms |  | 
[2026-07-07 16:02:12,722 root/WARNING]: 127.0.0.1 - "GET /static/js/pitch.js HTTP/1.1" - 304 - | 3ms |  | 
[2026-07-07 16:02:12,747 root/WARNING]: 127.0.0.1 - "GET /static/images/logo.svg HTTP/1.1" - 304 - | 0ms |  | 
[2026-07-07 16:02:12,762 root/WARNING]: 127.0.0.1 - "GET /static/js/cookie.js HTTP/1.1" - 304 - | 0ms |  | 
[2026-07-07 16:02:15,153 root/INFO]: 127.0.0.1 - "GET /auth/logout HTTP/1.1" - 200 - | 12ms |  | 
[2026-07-07 16:02:15,347 root/WARNING]: 127.0.0.1 - "GET /static/css/style.css HTTP/1.1" - 304 - | 0ms |  | 
[2026-07-07 16:02:15,357 root/WARNING]: 127.0.0.1 - "GET /static/js/logout.js HTTP/1.1" - 304 - | 0ms |  | 
[2026-07-07 16:02:15,391 root/WARNING]: 127.0.0.1 - "GET /static/images/logo.svg HTTP/1.1" - 304 - | 1ms |  | 
[2026-07-07 16:02:16,228 root/INFO]: 127.0.0.1 - "POST /auth/logout HTTP/1.1" - 200 - | 30ms |  | 
[2026-07-07 16:02:16,347 root/INFO]: 127.0.0.1 - "GET / HTTP/1.1" - 200 - | 0ms |  | 
[2026-07-07 16:02:16,448 root/WARNING]: 127.0.0.1 - "GET /static/css/style.css HTTP/1.1" - 304 - | 1ms |  | 
[2026-07-07 16:02:16,468 root/WARNING]: 127.0.0.1 - "GET /static/js/index.js HTTP/1.1" - 304 - | 1ms |  | 
